r kpc,sigma tot
0.33796620337966204,309.7346670001407
0.33996600339966,309.38737066229413
0.341965803419658,309.040463737577
0.34396560343965604,308.6939457893532
0.34596540345965404,308.34781638147524
0.34796520347965204,308.0020750782826
0.34996500349965,307.656721444606
0.3519648035196481,307.3117550457633
0.35396460353964604,306.9671754475598
0.35596440355964404,306.62298221628583
0.35796420357964204,306.27917491872057
0.35996400359964,305.9357531221291
0.3619638036196381,305.5927163942581
0.36396360363963604,305.25006430334264
0.36596340365963403,304.9077964181019
0.36796320367963203,304.5659123077349
0.36996300369963,304.22441154192745
0.3719628037196281,303.8832936908466
0.37396260373962603,303.54255832514264
0.37596240375962403,303.2022050159435
0.37796220377962203,302.86223333486174
0.3799620037996201,302.52264285398996
0.3819618038196181,302.18343314589816
0.38396160383961603,301.8446037836372
