        ********************
        ****** MODEL2 ******
        ********************

TITLE= M 31        
OPTICAL FILENAME= m31.mub     
HI FILENAME= m31.hidhe   
OBSERVED VELOCITY FILE= m31.vhi     

RCORE=  48.00   SIGMA= 120.00   XML=   7.80
DIST=    0.76   ABS=     0.33   RATIO= 0.32
ECC=     0.15  HECC=     0.00
ABSOLUTE MAGNITUDE= -20.69      TOTAL DISK MASS=   0.22E+12   TOTAL HI MASS=   0.50E+10


     RADIUS   DISK MASS     DISK S.D.     HALO MASS     HALO V.D.     HALO S.D.     HI MASS       HI S.D.
     36.48    0.2179E+12    0.1715E+01    0.1383E+12    0.5194E-03    0.6428E+02    0.4995E+10    0.1034E-01
     36.96    0.2180E+12    0.1568E+01    0.1425E+12    0.5117E-03    0.6371E+02    0.4995E+10    0.3429E-02
     37.44    0.2182E+12    0.1433E+01    0.1467E+12    0.5041E-03    0.6314E+02    0.4995E+10    0.0000E+00
     37.92    0.2183E+12    0.1313E+01    0.1510E+12    0.4966E-03    0.6257E+02    0.4995E+10    0.0000E+00
     38.40    0.2185E+12    0.1201E+01    0.1553E+12    0.4892E-03    0.6200E+02    0.4995E+10    0.0000E+00
     38.88    0.2186E+12    0.1096E+01    0.1597E+12    0.4818E-03    0.6143E+02    0.4995E+10    0.0000E+00
     39.36    0.2187E+12    0.1004E+01    0.1641E+12    0.4746E-03    0.6086E+02    0.4995E+10    0.0000E+00
     39.84    0.2188E+12    0.9188E+00    0.1686E+12    0.4674E-03    0.6029E+02    0.4995E+10    0.0000E+00
     40.32    0.2189E+12    0.8388E+00    0.1731E+12    0.4604E-03    0.5972E+02    0.4995E+10    0.0000E+00
     40.80    0.2190E+12    0.7689E+00    0.1776E+12    0.4534E-03    0.5915E+02    0.4995E+10    0.0000E+00
     41.28    0.2191E+12    0.7030E+00    0.1822E+12    0.4465E-03    0.5858E+02    0.4995E+10    0.0000E+00
     41.76    0.2192E+12    0.6424E+00    0.1868E+12    0.4397E-03    0.5801E+02    0.4995E+10    0.0000E+00
     42.24    0.2193E+12    0.5885E+00    0.1915E+12    0.4330E-03    0.5744E+02    0.4995E+10    0.0000E+00
     42.72    0.2193E+12    0.5375E+00    0.1961E+12    0.4264E-03    0.5687E+02    0.4995E+10    0.0000E+00
     43.20    0.2194E+12    0.4922E+00    0.2008E+12    0.4199E-03    0.5629E+02    0.4995E+10    0.0000E+00
